	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.6261477714930684	0.6213418215849754	0.031442676729043946	1.0265231821336638	0.06119791666666667	0.33333333333333337	0.12368313735767902
PC0	-0.05159977174241593	-0.013230088045990893	-0.31415619602839395	0.3462196979144628	0.16883680555555555	0.5555555555555556	1.2134488160114567
PC1	0.00012950503227085174	-0.0003103257275320377	0.24631508379685177	0.7421160459371696	0.10546875	0.3888888888888889	1.0701956272217785
PC2	-0.00011106171552700447	-0.00012412827466852383	0.06935899155882273	0.8577065860401628	0.06293402777777779	0.24999999999999997	0.7357492215693323
