	V1	V2	V3
ES_001	NA_character_	NA_character_	NA_character_
ES_007	ES_069	NA_character_	NA_character_
ES_010	ES_069	NA_character_	NA_character_
ES_014	NA_character_	NA_character_	NA_character_
ES_017	ES_069	ES_107	NA_character_
ES_019	ES_069	NA_character_	NA_character_
ES_024	NA_character_	NA_character_	NA_character_
ES_043	ES_209	ES_211	NA_character_
ES_046	ES_069	ES_088	ES_107
ES_048	ES_069	ES_107	NA_character_
ES_080	ES_114	NA_character_	NA_character_
ES_108	NA_character_	NA_character_	NA_character_
ES_116	ES_210	NA_character_	NA_character_
ES_132	ES_069	NA_character_	NA_character_
ES_137	ES_089	ES_209	ES_211
ES_147	ES_069	ES_088	ES_107
