,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_medium,16,0.0018625,16,0.00295,0.15492025670010526,1.5838926174496644,0.6960259140383496,0.8502980520919778,21,0.005822857142857144,21,0.00088,1.0361305719227343,0.1511285574092247,0.0010712699784313725,0.024131318945065542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii,16,0.011651875,16,0.0316225,0.20951037760002386,2.7139408893418437,1.0,1.0,21,0.07102095238095239,21,0.0,1.0826639239215339,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes,16,0.01367375,16,0.037109375,0.20950889229460765,2.7139135204314835,1.0,1.0,21,0.08334476190476191,21,0.0,1.0826639239215339,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_koreensis,16,0.0013,16,0.0,0.3535533905932738,0.0,0.34850142376108484,0.5423424523619249,21,0.007923809523809524,21,0.0,1.0826639239215337,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_liquefaciens,16,0.00107,16,0.00107625,0.001456021782166781,1.0058411214953271,1.0,1.0,21,0.006521904761904762,21,0.0,1.0826639239215337,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris,16,0.10914,16,0.29620125,0.20951124346579267,2.7139568444200113,1.0,1.0,21,0.6652342857142857,21,0.0,1.0826639239215332,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247,16,0.10251374999999999,16,1.206265,0.4261861349124363,11.766860543097877,0.01552758827932171,0.15216954287050358,21,0.07724761904761905,21,2.4208028571428573,0.639597722444477,31.338219701639748,0.0012622943115657892,0.024131318945065542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180,16,0.001163125,16,0.060724375,0.735850510574653,52.207952713594835,0.027127103233491726,0.19817855973356455,21,0.0017733333333333334,21,0.11273857142857142,1.0575671661155106,63.574382384532754,0.001200474532359509,0.024131318945065542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus,16,0.293208125,16,0.795756875,0.20951173899760914,2.7139659755335908,1.0,1.0,21,1.7871733333333333,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus,16,0.03697375,16,0.10034625,0.2095128405559599,2.7139862740457756,1.0,1.0,21,0.22536380952380952,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.024131318945065542
