,Case,Control
3,ES_007,ES_069
6,ES_010,ES_069
12,ES_017,ES_069
13,ES_017,ES_107
15,ES_019,ES_069
21,ES_043,ES_209
22,ES_043,ES_211
24,ES_046,ES_069
25,ES_046,ES_088
26,ES_046,ES_107
27,ES_048,ES_069
28,ES_048,ES_107
30,ES_080,ES_114
36,ES_116,ES_210
39,ES_132,ES_069
42,ES_137,ES_089
43,ES_137,ES_209
44,ES_137,ES_211
45,ES_147,ES_069
46,ES_147,ES_088
47,ES_147,ES_107
