	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.6260666673382069	0.3739333326761452	1.649569197765682	0.2993207034799327	0.31640625	0.625	
PC0	-0.05679676991276483	0.056796769912764944	-0.930060165398581	0.37391828723910614	0.171875	0.375	
PC1	-0.0004208234005058135	0.0004208234005058873	-0.47134107312425266	0.6779310203070797	0.12109375	0.25	
PC2	-6.147349658737066e-05	6.147349658737014e-05	-0.6526185944923459	0.3734103516568856	0.109375	0.3125	
