	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.5013613904141734	0.5013954006553961	-0.000615938987531677	0.9899795701992837	0.006506024096385546	0.036144578313253024	0.01314372125001763
Environment	0.5248795180722892	0.5235301204819277	0.006443368744843957	1.1989674580417458	0.03502381619501261	0.12048192771084339	0.996305892171489
Age	0.483710843373494	0.48450602409638555	-0.003882333708416032	1.0218642788118848	0.029053356282271948	0.0963855421686747	0.5216444746399227
Sex	0.5029518072289156	0.5013734939759036	0.007645735076701772	0.9922211974056186	0.03135433299462912	0.08433734939759037	1.0903051676936284
