,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
W5X3,100,0.6723064551197531,100,0.9378356551197534,2.6031348450078853,1.3949526261096268,2.9138983962592144e-30,1.4569491981296072e-28,83,0.6752945731920422,83,0.9372109587342111,2.5498624659397056,1.3878550131154161,1.5987882909791064e-25,7.993941454895532e-24
W5X2,100,1.2448735786172904,100,1.49203277861729,2.3744573109307603,1.1985416063489154,9.638374632267726e-29,2.4095936580669314e-27,83,1.2502950966895794,83,1.4922247352437965,2.330014206317149,1.1934980303408187,1.9278667280796704e-24,4.819666820199176e-23
W5X7,100,0.6454946484966766,100,0.8489412484966766,1.7551238028677196,1.315179375187411,1.425407505723736e-21,2.3756791762062268e-20,83,0.646739949701496,83,0.8489693472918577,1.7231309924686118,1.3126904371435553,1.993072588244556e-17,3.32178764707426e-16
W5X6,100,0.7026005033213242,100,0.9086955033213241,1.703141801730488,1.293331699914461,6.6631853290003594e-21,8.328981661250449e-20,83,0.7053867972972281,83,0.9075882430803602,1.651124648848273,1.2866532894546518,5.690292648646784e-17,7.112865810808479e-16
W5X9,100,0.7093050426815602,100,0.91613304268156,1.5987398608240098,1.2915924567772379,1.6858242357901693e-19,1.4365767422376955e-18,83,0.7126002956936082,83,0.9148733077418011,1.5451926714876099,1.283851990057499,7.743721553553343e-16,7.171672633253536e-15
W5X0,100,1.3778712778539473,100,1.5839538778539473,1.6005019131988683,1.1495659306586146,1.7238920906852344e-19,1.4365767422376955e-18,83,1.3809530802635852,83,1.583273562191297,1.5505155810381366,1.1465078609977788,8.606007159904244e-16,7.171672633253536e-15
W5X8,100,1.4154218869061455,100,1.5995206869061456,1.431397616752198,1.1300663792916235,4.404514890466424e-17,3.146082064618874e-16,83,1.4174845254603623,83,1.5999360917254233,1.3961351792425936,1.1287150321488029,1.2418758569763912e-13,8.870541835545651e-13
W4X8,100,0.8321629621999643,100,0.9994577621999635,1.4088172235716132,1.2010361042237772,1.175764298724861e-16,7.34852686703038e-16,83,0.8354499838867111,83,0.9975815501517707,1.355717023101901,1.194064958276479,2.8262683912928097e-13,1.766417744558006e-12
W5X5,100,1.1342606449215962,100,1.3006434449215967,1.3661492102420778,1.1466883301866666,3.5326300959201514e-16,1.962572275511195e-15,83,1.1376778111866566,83,1.2999378111866569,1.3200909134842904,1.1426238592372253,1.2867345647892314e-12,6.585672302324062e-12
W5X4,100,1.1739920309681453,100,1.3590408309681459,1.3587493846372314,1.1576235571611146,6.145485842148304e-16,3.072742921074152e-15,83,1.1751751321729647,83,1.3576170598838087,1.313844497388966,1.1552465864160166,1.3171344604648124e-12,6.585672302324062e-12
W5X1,100,1.1703627987189116,100,1.3354593987189116,1.279834640448654,1.1410644632422664,1.037715124226031e-14,4.7168869283001405e-14,83,1.1722600758273451,83,1.3346528469116825,1.2395567916360566,1.1385296440891972,1.6144360643920443e-11,7.338345747236565e-11
W4X9,100,0.905243095694597,100,1.030344695694597,0.8900999034931263,1.138196690585095,2.0087405245735673e-08,8.369752185723197e-08,83,0.9074135342488141,83,1.0300265462970069,0.8579582222424695,1.135123631531125,8.848712474631497e-07,3.686963531096457e-06
W4X3,100,1.2371538125286414,100,1.3463130125286418,0.8756166824360474,1.0882341378206546,2.2965392625179957e-08,8.832843317376906e-08,83,1.2414633908418946,83,1.3436282101190031,0.818151568833076,1.0822938638632154,2.0904258724305216e-06,8.04009950934816e-06
W4X6,100,0.7181328250416269,100,0.825619225041627,0.752295647965407,1.1496748181560557,1.9036889461296846e-06,6.798889093320302e-06,83,0.7195679888970483,83,0.8219889527524702,0.7054455775063595,1.142336742928785,7.922395788660079e-05,0.00028294270673785997
W4X7,100,1.2588390171927322,100,1.3462724171927332,0.6865231246504725,1.0694555847140657,9.375834833140718e-06,3.125278277713573e-05,83,1.2630781593614067,83,1.3454504485180334,0.6431832731164662,1.0652155122358167,0.00029400010478623496,0.0009800003492874498
