,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
W1X7,100,1.0842921132208052,100,1.0755369132208057,0.06783763170670613,0.9919254231463578,0.6468551557985761,0.7521917943855941,86,1.0827438667091778,86,1.0788834015928985,0.027778082071900256,0.9964345536973462,0.9304448586682248,1.0
W1X8,100,1.0161193285383974,100,1.0107303285383968,0.03843378262022718,0.994696489035641,0.767497258179149,0.7994763106032803,86,1.0142699703988625,86,1.0127776448174668,0.010022701188522056,0.9985286702505756,0.9816743818870246,1.0
W1X9,100,0.9406978197807583,100,0.9322358197807588,0.06674593509763029,0.9910045502157412,0.620750749543036,0.7521917943855941,86,0.9380279314086656,86,0.9346474662923865,0.02459172609535632,0.9963961999391612,0.9938909795556837,1.0
W2X0,100,0.8270890005563798,100,0.8202996005563798,0.04933226971975601,0.9917912098994996,0.6398496872211095,0.7521917943855941,86,0.8247239773005659,86,0.8241428145098684,0.004036088365719572,0.9992953244883218,0.974346300134026,1.0
W2X1,100,1.2801350506237548,100,1.2734814506237546,0.04938679166177834,0.9948024233874714,0.709433559382358,0.7634412267788493,86,1.2782967576004993,86,1.275677222716778,0.018133108513357067,0.9979507615362818,0.9743462850122073,1.0
W2X2,100,0.6319630439651766,100,0.622393843965176,0.07901072188621791,0.984857975333558,0.5551380784050653,0.7521917943855941,86,0.6276558486163394,86,0.6256665462907576,0.015263161760423815,0.9968305842605192,1.0,1.0
W2X3,100,0.5885116532939174,100,0.5767084532939176,0.1022365187277204,0.9799439825295949,0.43070084948110277,0.7521917943855941,86,0.5809778579450805,86,0.5824294858520571,0.012127133722656676,1.002498594201354,0.9304448586682248,1.0
W2X4,100,1.3450656726359094,100,1.33811887263591,0.05060938663921984,0.9948353451126398,0.6627315903118778,0.7521917943855941,86,1.344349021473119,86,1.341249486589398,0.021200035096912068,0.9976943971883696,0.9694620768488729,1.0
W2X5,100,0.9526438648443228,100,0.9449796648443228,0.05893602588415518,0.9919548109394979,0.635487214312119,0.7521917943855941,86,0.9497910229838579,86,0.9478414881001368,0.014024565876417377,0.9979474064962244,0.9816743494748624,1.0
W2X7,100,0.980603995396543,100,0.9710347953965431,0.07901072188621244,0.9902415245655509,0.5551380784050653,0.7521917943855941,86,0.9762968000477059,86,0.9743074977221244,0.01526316176042126,0.997962400035026,1.0,1.0
W2X8,100,0.8533845997019093,100,0.840976799701909,0.11132729038828845,0.9854604828768478,0.3777421717554613,0.7521917943855941,86,0.8472792741205138,86,0.8458576462135365,0.01196044208682473,0.9983221259502034,1.0,1.0
W2X9,100,1.4919113583601815,100,1.4833169583601817,0.06862427226381457,0.9942393360357239,0.5900470460086152,0.7521917943855941,86,1.4857248234764606,86,1.4870262188252976,0.00987945257164329,1.0008759329643506,0.9755674990421723,1.0
W3X0,100,1.460707013243941,100,1.455178813243941,0.03697939531200216,0.9962153943604863,0.7176347531721183,0.7634412267788493,86,1.4613208411509184,86,1.4592233992904524,0.013455622842165477,0.998564694486384,1.0,1.0
W3X1,100,0.632633236513056,100,0.6273408365130559,0.03750935873399372,0.9916343314031828,0.8060224051087783,0.8060224051087783,86,0.631406636513056,86,0.6291931481409629,0.014721344122407137,0.9964943536477269,0.9890040103418126,1.0
W3X2,100,0.653614162959647,100,0.6458107629596472,0.055909996169813514,0.9880611522175942,0.6468551557985761,0.7521917943855941,86,0.6532245071456935,86,0.6506698559829028,0.017476189372274326,0.9960891682188205,0.9231448699306067,1.0
W3X5,100,1.0318150882059434,100,1.024968288205944,0.05150995810660337,0.9933643149065555,0.6769726149470348,0.7521917943855941,86,1.0287312789036178,86,1.0275540696012926,0.008321765824373877,0.9988556687966367,0.9890040103418126,1.0
W3X4,100,0.7124701636030467,100,0.7015201636030467,0.09356092949304928,0.9846309353578758,0.4770676908505965,0.7521917943855941,86,0.707599289184442,86,0.7058625449983956,0.013887804881253907,0.997545582347817,0.969462004855554,1.0
