	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.5015838202539369	0.501616385360409	-0.00048792767349156897	0.9835942133791103	0.007209302325581398	0.04651162790697674	0.015570058947073072
Environment	0.4951162790697674	0.47822093023255813	0.08985447950437891	0.8631191407056106	0.0430298252529234	0.12790697674418605	1.0194432860493383
Age	0.506686046511628	0.5258488372093023	-0.08703589503602015	0.9343959260283781	0.054066482722375506	0.1511627906976744	0.9769356713448463
Sex	0.5146976744186047	0.5186744186046511	-0.02011994660201832	0.7907508449868915	0.06292358803986711	0.18604651162790697	0.6621933302699495
