	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
99	STH	s2s	73	72	301	7	0.2	0.6894736842105262
100	STH	self	72	72	301	7	0.3	0.75
101	STH	self	73	73	301	7	0.3	0.8341503267973857
102	STH	s2s	72	73	301	7	0.3	0.7539848445257382
103	STH	s2s	73	72	301	7	0.3	0.6631578947368421
104	STH	self	72	72	301	7	0.4	0.8125
105	STH	self	73	73	301	7	0.4	0.8239379084967321
106	STH	s2s	72	73	301	7	0.4	0.7132871701071335
107	STH	s2s	73	72	301	7	0.4	0.7473684210526315
108	STH	self	72	72	301	7	0.5	0.6875
109	STH	self	73	73	301	7	0.5	0.8447712418300652
110	STH	s2s	72	73	301	7	0.5	0.7264175594460414
111	STH	s2s	73	72	301	7	0.5	0.7263157894736841
112	STH	self	72	72	301	7	0.6	0.75
113	STH	self	73	73	301	7	0.6	0.8186274509803921
114	STH	s2s	72	73	301	7	0.6	0.7224327149203031
115	STH	s2s	73	72	301	7	0.6	0.7526315789473684
116	STH	self	72	72	301	7	0.7	0.875
117	STH	self	73	73	301	7	0.7	0.829248366013072
118	STH	s2s	72	73	301	7	0.7	0.7158348575908022
119	STH	s2s	73	72	301	7	0.7	0.7684210526315789
120	STH	self	72	72	301	7	0.8	0.75
121	STH	self	73	73	301	7	0.8	0.7892156862745098
122	STH	s2s	72	73	301	7	0.8	0.6616148419127255
123	STH	s2s	73	72	301	7	0.8	0.6421052631578947
124	STH	self	72	72	301	7	0.9	0.75
125	STH	self	73	73	301	7	0.9	0.7851307189542484
126	STH	s2s	72	73	301	7	0.9	0.714789652469297
127	STH	s2s	73	72	301	7	0.9	0.8
128	STH	self	72	72	301	7	1.0	0.75
129	STH	self	73	73	301	7	1.0	0.8120915032679739
130	STH	s2s	72	73	301	7	1.0	0.689835380193363
131	STH	s2s	73	72	301	7	1.0	0.8526315789473684
132	STH	self	72	72	301	9	0.0	0.6875
133	STH	self	73	73	301	9	0.0	0.8145424836601307
134	STH	s2s	72	73	301	9	0.0	0.7854716488110791
135	STH	s2s	73	72	301	9	0.0	0.6684210526315789
136	STH	self	72	72	301	9	0.1	0.6875
137	STH	self	73	73	301	9	0.1	0.809640522875817
138	STH	s2s	72	73	301	9	0.1	0.7716880062712307
139	STH	s2s	73	72	301	9	0.1	0.6894736842105262
140	STH	self	72	72	301	9	0.2	0.75
141	STH	self	73	73	301	9	0.2	0.8157679738562091
142	STH	s2s	72	73	301	9	0.2	0.7716880062712307
143	STH	s2s	73	72	301	9	0.2	0.6789473684210526
144	STH	self	72	72	301	9	0.3	0.75
145	STH	self	73	73	301	9	0.3	0.8259803921568627
146	STH	s2s	72	73	301	9	0.3	0.7565978573295009
147	STH	s2s	73	72	301	9	0.3	0.6105263157894737
148	STH	self	72	72	301	9	0.4	0.8125
149	STH	self	73	73	301	9	0.4	0.8386437908496732
150	STH	s2s	72	73	301	9	0.4	0.7353671282989287
151	STH	s2s	73	72	301	9	0.4	0.6578947368421052
152	STH	self	72	72	301	9	0.5	0.75
153	STH	self	73	73	301	9	0.5	0.8182189542483659
154	STH	s2s	72	73	301	9	0.5	0.7502613012803764
155	STH	s2s	73	72	301	9	0.5	0.6368421052631579
156	STH	self	72	72	301	9	0.6	0.6875
157	STH	self	73	73	301	9	0.6	0.8223039215686274
158	STH	s2s	72	73	301	9	0.6	0.7447739743924745
159	STH	s2s	73	72	301	9	0.6	0.6526315789473685
160	STH	self	72	72	301	9	0.7	0.75
161	STH	self	73	73	301	9	0.7	0.8451797385620915
162	STH	s2s	72	73	301	9	0.7	0.7163574601515548
163	STH	s2s	73	72	301	9	0.7	0.6947368421052631
164	STH	self	72	72	301	9	0.8	0.75
165	STH	self	73	73	301	9	0.8	0.8186274509803921
166	STH	s2s	72	73	301	9	0.8	0.6696498562842959
167	STH	s2s	73	72	301	9	0.8	0.8157894736842105
168	STH	self	72	72	301	9	0.9	0.75
169	STH	self	73	73	301	9	0.9	0.8120915032679739
170	STH	s2s	72	73	301	9	0.9	0.7030310948523648
171	STH	s2s	73	72	301	9	0.9	0.7368421052631579
172	STH	self	72	72	301	9	1.0	0.75
173	STH	self	73	73	301	9	1.0	0.8198529411764706
174	STH	s2s	72	73	301	9	1.0	0.6803632087797231
175	STH	s2s	73	72	301	9	1.0	0.7789473684210526
176	STH	self	72	72	301	11	0.0	0.75
177	STH	self	73	73	301	11	0.0	0.8382352941176471
178	STH	s2s	72	73	301	11	0.0	0.7660700287431409
179	STH	s2s	73	72	301	11	0.0	0.8
180	STH	self	72	72	301	11	0.1	0.75
181	STH	self	73	73	301	11	0.1	0.8451797385620915
182	STH	s2s	72	73	301	11	0.1	0.7721452835118893
183	STH	s2s	73	72	301	11	0.1	0.7947368421052632
184	STH	self	72	72	301	11	0.2	0.75
185	STH	self	73	73	301	11	0.2	0.8223039215686274
186	STH	s2s	72	73	301	11	0.2	0.7588189182126993
187	STH	s2s	73	72	301	11	0.2	0.8157894736842105
188	STH	self	72	72	301	11	0.3	0.75
189	STH	self	73	73	301	11	0.3	0.8325163398692811
190	STH	s2s	72	73	301	11	0.3	0.7354977789391169
191	STH	s2s	73	72	301	11	0.3	0.7894736842105263
192	STH	self	72	72	301	11	0.4	0.75
193	STH	self	73	73	301	11	0.4	0.8468137254901961
194	STH	s2s	72	73	301	11	0.4	0.7330807420956363
195	STH	s2s	73	72	301	11	0.4	0.6736842105263157
196	STH	self	72	72	301	11	0.5	0.75
197	STH	self	73	73	301	11	0.5	0.8451797385620915
198	STH	s2s	72	73	301	11	0.5	0.7364776587405277
199	STH	s2s	73	72	301	11	0.5	0.7368421052631577
200	STH	self	72	72	301	11	0.6	0.75
201	STH	self	73	73	301	11	0.6	0.8688725490196078
202	STH	s2s	72	73	301	11	0.6	0.7109354585837471
203	STH	s2s	73	72	301	11	0.6	0.7999999999999999
204	STH	self	72	72	301	11	0.7	0.75
205	STH	self	73	73	301	11	0.7	0.8133169934640523
206	STH	s2s	72	73	301	11	0.7	0.7534622419649857
207	STH	s2s	73	72	301	11	0.7	0.8
208	STH	self	72	72	301	11	0.8	0.75
209	STH	self	73	73	301	11	0.8	0.8149509803921569
210	STH	s2s	72	73	301	11	0.8	0.6993075516070029
211	STH	s2s	73	72	301	11	0.8	0.8
212	STH	self	72	72	301	11	0.9	0.75
213	STH	self	73	73	301	11	0.9	0.8366013071895424
214	STH	s2s	72	73	301	11	0.9	0.6766396655343612
215	STH	s2s	73	72	301	11	0.9	0.8631578947368421
216	STH	self	72	72	301	11	1.0	0.75
217	STH	self	73	73	301	11	1.0	0.8006535947712418
218	STH	s2s	72	73	301	11	1.0	0.7176639665534361
219	STH	s2s	73	72	301	11	1.0	0.6578947368421053
