	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
86	schizofrenia	s2s	9	100	301	5	1.0	0.4637174211248286
87	schizofrenia	s2s	100	9	301	5	1.0	0.5546875
88	schizofrenia	self	9	9	301	7	0.0	1.0
89	schizofrenia	self	100	100	301	7	0.0	0.6696127946127947
90	schizofrenia	s2s	9	100	301	7	0.0	0.5739368998628258
91	schizofrenia	s2s	100	9	301	7	0.0	0.572265625
92	schizofrenia	self	9	9	301	7	0.1	0.9761904761904764
93	schizofrenia	self	100	100	301	7	0.1	0.6666666666666666
94	schizofrenia	s2s	9	100	301	7	0.1	0.5535665294924554
95	schizofrenia	s2s	100	9	301	7	0.1	0.556640625
96	schizofrenia	self	9	9	301	7	0.2	0.9285714285714286
97	schizofrenia	self	100	100	301	7	0.2	0.6914983164983165
98	schizofrenia	s2s	9	100	301	7	0.2	0.5272976680384087
99	schizofrenia	s2s	100	9	301	7	0.2	0.658203125
100	schizofrenia	self	9	9	301	7	0.3	0.9047619047619048
101	schizofrenia	self	100	100	301	7	0.3	0.6624579124579125
102	schizofrenia	s2s	9	100	301	7	0.3	0.5382716049382716
103	schizofrenia	s2s	100	9	301	7	0.3	0.53125
104	schizofrenia	self	9	9	301	7	0.4	0.8095238095238095
105	schizofrenia	self	100	100	301	7	0.4	0.6952861952861953
106	schizofrenia	s2s	9	100	301	7	0.4	0.5244170096021948
107	schizofrenia	s2s	100	9	301	7	0.4	0.611328125
108	schizofrenia	self	9	9	301	7	0.5	0.7380952380952381
109	schizofrenia	self	100	100	301	7	0.5	0.7070707070707071
110	schizofrenia	s2s	9	100	301	7	0.5	0.5280521262002743
111	schizofrenia	s2s	100	9	301	7	0.5	0.5703125
112	schizofrenia	self	9	9	301	7	0.6	0.5833333333333333
113	schizofrenia	self	100	100	301	7	0.6	0.6679292929292929
114	schizofrenia	s2s	9	100	301	7	0.6	0.5232510288065844
115	schizofrenia	s2s	100	9	301	7	0.6	0.60546875
116	schizofrenia	self	9	9	301	7	0.7	0.3333333333333333
117	schizofrenia	self	100	100	301	7	0.7	0.6734006734006734
118	schizofrenia	s2s	9	100	301	7	0.7	0.462962962962963
119	schizofrenia	s2s	100	9	301	7	0.7	0.4453125
120	schizofrenia	self	9	9	301	7	0.8	0.3809523809523809
121	schizofrenia	self	100	100	301	7	0.8	0.7079124579124579
122	schizofrenia	s2s	9	100	301	7	0.8	0.45006858710562414
123	schizofrenia	s2s	100	9	301	7	0.8	0.583984375
124	schizofrenia	self	9	9	301	7	0.9	0.25
125	schizofrenia	self	100	100	301	7	0.9	0.6683501683501684
126	schizofrenia	s2s	9	100	301	7	0.9	0.5093278463648834
127	schizofrenia	s2s	100	9	301	7	0.9	0.544921875
128	schizofrenia	self	9	9	301	7	1.0	0.16666666666666669
129	schizofrenia	self	100	100	301	7	1.0	0.6776094276094277
130	schizofrenia	s2s	9	100	301	7	1.0	0.4886831275720164
131	schizofrenia	s2s	100	9	301	7	1.0	0.642578125
132	schizofrenia	self	9	9	301	9	0.0	1.0
133	schizofrenia	self	100	100	301	9	0.0	0.7192760942760943
134	schizofrenia	s2s	9	100	301	9	0.0	0.6015089163237312
135	schizofrenia	s2s	100	9	301	9	0.0	0.5
136	schizofrenia	self	9	9	301	9	0.1	0.9761904761904764
137	schizofrenia	self	100	100	301	9	0.1	0.7302188552188552
138	schizofrenia	s2s	9	100	301	9	0.1	0.5655692729766804
139	schizofrenia	s2s	100	9	301	9	0.1	0.494140625
140	schizofrenia	self	9	9	301	9	0.2	0.9047619047619048
141	schizofrenia	self	100	100	301	9	0.2	0.73989898989899
142	schizofrenia	s2s	9	100	301	9	0.2	0.5742112482853224
143	schizofrenia	s2s	100	9	301	9	0.2	0.474609375
144	schizofrenia	self	9	9	301	9	0.3	0.9166666666666666
145	schizofrenia	self	100	100	301	9	0.3	0.7276936026936027
146	schizofrenia	s2s	9	100	301	9	0.3	0.6320987654320988
147	schizofrenia	s2s	100	9	301	9	0.3	0.537109375
148	schizofrenia	self	9	9	301	9	0.4	0.8095238095238095
149	schizofrenia	self	100	100	301	9	0.4	0.7327441077441078
150	schizofrenia	s2s	9	100	301	9	0.4	0.55480109739369
151	schizofrenia	s2s	100	9	301	9	0.4	0.474609375
152	schizofrenia	self	9	9	301	9	0.5	0.7142857142857143
153	schizofrenia	self	100	100	301	9	0.5	0.7192760942760943
154	schizofrenia	s2s	9	100	301	9	0.5	0.5655692729766804
155	schizofrenia	s2s	100	9	301	9	0.5	0.513671875
156	schizofrenia	self	9	9	301	9	0.6	0.5476190476190476
157	schizofrenia	self	100	100	301	9	0.6	0.7142255892255892
158	schizofrenia	s2s	9	100	301	9	0.6	0.5669410150891633
159	schizofrenia	s2s	100	9	301	9	0.6	0.56640625
160	schizofrenia	self	9	9	301	9	0.7	0.6190476190476191
161	schizofrenia	self	100	100	301	9	0.7	0.6936026936026936
162	schizofrenia	s2s	9	100	301	9	0.7	0.5195473251028807
163	schizofrenia	s2s	100	9	301	9	0.7	0.48828125
164	schizofrenia	self	9	9	301	9	0.8	0.4047619047619048
165	schizofrenia	self	100	100	301	9	0.8	0.7125420875420876
166	schizofrenia	s2s	9	100	301	9	0.8	0.5064471879286694
167	schizofrenia	s2s	100	9	301	9	0.8	0.544921875
168	schizofrenia	self	9	9	301	9	0.9	0.25
169	schizofrenia	self	100	100	301	9	0.9	0.6952861952861953
170	schizofrenia	s2s	9	100	301	9	0.9	0.4674897119341564
171	schizofrenia	s2s	100	9	301	9	0.9	0.5703125
172	schizofrenia	self	9	9	301	9	1.0	0.21428571428571427
173	schizofrenia	self	100	100	301	9	1.0	0.6999158249158249
174	schizofrenia	s2s	9	100	301	9	1.0	0.5141289437585734
175	schizofrenia	s2s	100	9	301	9	1.0	0.54296875
176	schizofrenia	self	9	9	301	11	0.0	1.0
177	schizofrenia	self	100	100	301	11	0.0	0.7070707070707071
178	schizofrenia	s2s	9	100	301	11	0.0	0.5917695473251029
179	schizofrenia	s2s	100	9	301	11	0.0	0.546875
180	schizofrenia	self	9	9	301	11	0.1	1.0
181	schizofrenia	self	100	100	301	11	0.1	0.7117003367003367
182	schizofrenia	s2s	9	100	301	11	0.1	0.5801097393689987
183	schizofrenia	s2s	100	9	301	11	0.1	0.568359375
184	schizofrenia	self	9	9	301	11	0.2	0.9761904761904762
185	schizofrenia	self	100	100	301	11	0.2	0.7213804713804715
186	schizofrenia	s2s	9	100	301	11	0.2	0.5503429355281207
187	schizofrenia	s2s	100	9	301	11	0.2	0.56640625
188	schizofrenia	self	9	9	301	11	0.3	0.9523809523809524
189	schizofrenia	self	100	100	301	11	0.3	0.7112794612794614
190	schizofrenia	s2s	9	100	301	11	0.3	0.5992455418381344
191	schizofrenia	s2s	100	9	301	11	0.3	0.578125
192	schizofrenia	self	9	9	301	11	0.4	0.9285714285714286
193	schizofrenia	self	100	100	301	11	0.4	0.7323232323232324
194	schizofrenia	s2s	9	100	301	11	0.4	0.5757887517146777
195	schizofrenia	s2s	100	9	301	11	0.4	0.5546875
