	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
89	IBD	lodo	others	27	101	5	0.3	0.7319941563184806
90	IBD	s2s	27	36	101	5	0.4	0.7042419658109635
91	IBD	s2s	27	38	101	5	0.4	0.8945018796992479
92	IBD	s2s	27	48_1	101	5	0.4	0.5760714285714287
93	IBD	s2s	27	59	101	5	0.4	0.6973218177855276
94	IBD	self	27	27	101	5	0.4	0.9765765765765766
95	IBD	lodo	others	27	101	5	0.4	0.7414536157779401
96	IBD	s2s	27	36	101	5	0.5	0.7111474006403116
97	IBD	s2s	27	38	101	5	0.5	0.8921522556390978
98	IBD	s2s	27	48_1	101	5	0.5	0.5332142857142858
99	IBD	s2s	27	59	101	5	0.5	0.6091706625980821
100	IBD	self	27	27	101	5	0.5	0.9639639639639641
101	IBD	lodo	others	27	101	5	0.5	0.7114682249817385
102	IBD	s2s	27	36	101	5	0.6	0.7281871914249863
103	IBD	s2s	27	38	101	5	0.6	0.900375939849624
104	IBD	s2s	27	48_1	101	5	0.6	0.4507142857142857
105	IBD	s2s	27	59	101	5	0.6	0.6341543156059285
106	IBD	self	27	27	101	5	0.6	0.9216216216216216
107	IBD	lodo	others	27	101	5	0.6	0.6839298758217677
108	IBD	s2s	27	36	101	5	0.7	0.7242556085890866
109	IBD	s2s	27	38	101	5	0.7	0.9363251879699248
110	IBD	s2s	27	48_1	101	5	0.7	0.4832142857142857
111	IBD	s2s	27	59	101	5	0.7	0.6360750871839581
112	IBD	self	27	27	101	5	0.7	0.909009009009009
113	IBD	lodo	others	27	101	5	0.7	0.7234112490869248
114	IBD	s2s	27	36	101	5	0.8	0.6912989175686928
115	IBD	s2s	27	38	101	5	0.8	0.9426691729323308
116	IBD	s2s	27	48_1	101	5	0.8	0.5167857142857143
117	IBD	s2s	27	59	101	5	0.8	0.6800893635571056
118	IBD	self	27	27	101	5	0.8	0.9216216216216216
119	IBD	lodo	others	27	101	5	0.8	0.7439006574141709
120	IBD	s2s	27	36	101	5	0.9	0.7036106452760414
121	IBD	s2s	27	38	101	5	0.9	0.9403195488721804
122	IBD	s2s	27	48_1	101	5	0.9	0.4617857142857142
123	IBD	s2s	27	59	101	5	0.9	0.6612494551002615
124	IBD	self	27	27	101	5	0.9	0.9027027027027026
125	IBD	lodo	others	27	101	5	0.9	0.8058802045288532
126	IBD	s2s	27	36	101	5	1.0	0.7198910923213441
127	IBD	s2s	27	38	101	5	1.0	0.6830357142857142
128	IBD	s2s	27	48_1	101	5	1.0	0.5678571428571428
129	IBD	s2s	27	59	101	5	1.0	0.7231636878814298
130	IBD	self	27	27	101	5	1.0	0.9801801801801804
131	IBD	lodo	others	27	101	5	1.0	0.7906866325785246
132	IBD	s2s	27	36	101	7	0.0	0.6759693604312524
