	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
81	IGT	self	40_1	40_1	301	5	0.9	0.5838235294117647
82	IGT	s2s	37_1	40_1	301	5	0.9	0.33602278120550544
83	IGT	s2s	40_1	37_1	301	5	0.9	0.4829452428597417
84	IGT	self	37_1	37_1	301	5	1.0	0.9241898148148148
85	IGT	self	40_1	40_1	301	5	1.0	0.7029411764705882
86	IGT	s2s	37_1	40_1	301	5	1.0	0.38253440911248215
87	IGT	s2s	40_1	37_1	301	5	1.0	0.5270147353101692
88	IGT	self	37_1	37_1	301	7	0.0	0.8217592592592592
89	IGT	self	40_1	40_1	301	7	0.0	0.6014705882352941
90	IGT	s2s	37_1	40_1	301	7	0.0	0.3998576174655909
91	IGT	s2s	40_1	37_1	301	7	0.0	0.4045388393669274
92	IGT	self	37_1	37_1	301	7	0.1	0.8313078703703703
93	IGT	self	40_1	40_1	301	7	0.1	0.6088235294117648
94	IGT	s2s	37_1	40_1	301	7	0.1	0.3927384907451352
95	IGT	s2s	40_1	37_1	301	7	0.1	0.387393123521921
96	IGT	self	37_1	37_1	301	7	0.2	0.8706597222222222
97	IGT	self	40_1	40_1	301	7	0.2	0.6
98	IGT	s2s	37_1	40_1	301	7	0.2	0.4112482202183199
99	IGT	s2s	40_1	37_1	301	7	0.2	0.3856194287793342
100	IGT	self	37_1	37_1	301	7	0.3	0.922164351851852
101	IGT	self	40_1	40_1	301	7	0.3	0.5705882352941177
102	IGT	s2s	37_1	40_1	301	7	0.3	0.4072140484100617
103	IGT	s2s	40_1	37_1	301	7	0.3	0.442650536656358
104	IGT	self	37_1	37_1	301	7	0.4	0.9623842592592592
105	IGT	self	40_1	40_1	301	7	0.4	0.6
106	IGT	s2s	37_1	40_1	301	7	0.4	0.3602278120550546
107	IGT	s2s	40_1	37_1	301	7	0.4	0.4147262142987084
108	IGT	self	37_1	37_1	301	7	0.5	0.9010416666666666
109	IGT	self	40_1	40_1	301	7	0.5	0.5823529411764706
110	IGT	s2s	37_1	40_1	301	7	0.5	0.3877551020408163
111	IGT	s2s	40_1	37_1	301	7	0.5	0.446698199017646
112	IGT	self	37_1	37_1	301	7	0.6	0.9227430555555556
113	IGT	self	40_1	40_1	301	7	0.6	0.6455882352941176
114	IGT	s2s	37_1	40_1	301	7	0.6	0.427859515899383
115	IGT	s2s	40_1	37_1	301	7	0.6	0.44387847917045664
116	IGT	self	37_1	37_1	301	7	0.7	0.9279513888888892
117	IGT	self	40_1	40_1	301	7	0.7	0.6176470588235294
118	IGT	s2s	37_1	40_1	301	7	0.7	0.4589463692453726
119	IGT	s2s	40_1	37_1	301	7	0.7	0.5640349281426232
120	IGT	self	37_1	37_1	301	7	0.8	0.9464699074074074
121	IGT	self	40_1	40_1	301	7	0.8	0.6514705882352941
122	IGT	s2s	37_1	40_1	301	7	0.8	0.431656383483626
123	IGT	s2s	40_1	37_1	301	7	0.8	0.526650900491177
124	IGT	self	37_1	37_1	301	7	0.9	0.9496527777777776
125	IGT	self	40_1	40_1	301	7	0.9	0.6029411764705882
126	IGT	s2s	37_1	40_1	301	7	0.9	0.4271476032273374
127	IGT	s2s	40_1	37_1	301	7	0.9	0.3536474440603966
128	IGT	self	37_1	37_1	301	7	1.0	0.90625
129	IGT	self	40_1	40_1	301	7	1.0	0.5779411764705883
130	IGT	s2s	37_1	40_1	301	7	1.0	0.4314190792596108
131	IGT	s2s	40_1	37_1	301	7	1.0	0.5130070947789703
132	IGT	self	37_1	37_1	301	9	0.0	0.8347800925925926
133	IGT	self	40_1	40_1	301	9	0.0	0.5955882352941178
134	IGT	s2s	37_1	40_1	301	9	0.0	0.3362600854295206
135	IGT	s2s	40_1	37_1	301	9	0.0	0.41795524831726394
136	IGT	self	37_1	37_1	301	9	0.1	0.8272569444444444
137	IGT	self	40_1	40_1	301	9	0.1	0.5926470588235293
138	IGT	s2s	37_1	40_1	301	9	0.1	0.3426672994779307
139	IGT	s2s	40_1	37_1	301	9	0.1	0.42082044751682735
140	IGT	self	37_1	37_1	301	9	0.2	0.9097222222222222
141	IGT	self	40_1	40_1	301	9	0.2	0.5867647058823529
142	IGT	s2s	37_1	40_1	301	9	0.2	0.3526340768865685
143	IGT	s2s	40_1	37_1	301	9	0.2	0.4132253956703657
144	IGT	self	37_1	37_1	301	9	0.3	0.9363425925925926
145	IGT	self	40_1	40_1	301	9	0.3	0.5970588235294118
146	IGT	s2s	37_1	40_1	301	9	0.3	0.3692453725676317
147	IGT	s2s	40_1	37_1	301	9	0.3	0.4023558304529743
148	IGT	self	37_1	37_1	301	9	0.4	0.9325810185185186
149	IGT	self	40_1	40_1	301	9	0.4	0.6176470588235294
150	IGT	s2s	37_1	40_1	301	9	0.4	0.39155196962505934
151	IGT	s2s	40_1	37_1	301	9	0.4	0.4231398944879025
152	IGT	self	37_1	37_1	301	9	0.5	0.9340277777777778
153	IGT	self	40_1	40_1	301	9	0.5	0.6176470588235295
154	IGT	s2s	37_1	40_1	301	9	0.5	0.4102990033222592
155	IGT	s2s	40_1	37_1	301	9	0.5	0.393441877387666
156	IGT	self	37_1	37_1	301	9	0.6	0.9745370370370372
157	IGT	self	40_1	40_1	301	9	0.6	0.5661764705882353
158	IGT	s2s	37_1	40_1	301	9	0.6	0.3353108685334599
159	IGT	s2s	40_1	37_1	301	9	0.6	0.5013643805712207
160	IGT	self	37_1	37_1	301	9	0.7	0.969039351851852
161	IGT	self	40_1	40_1	301	9	0.7	0.5970588235294118
162	IGT	s2s	37_1	40_1	301	9	0.7	0.3955861414333175
163	IGT	s2s	40_1	37_1	301	9	0.7	0.5199654356921958
164	IGT	self	37_1	37_1	301	9	0.8	0.9615162037037036
165	IGT	self	40_1	40_1	301	9	0.8	0.5941176470588236
166	IGT	s2s	37_1	40_1	301	9	0.8	0.3728049359278596
167	IGT	s2s	40_1	37_1	301	9	0.8	0.42814262324904495
168	IGT	self	37_1	37_1	301	9	0.9	0.9673032407407408
169	IGT	self	40_1	40_1	301	9	0.9	0.55
170	IGT	s2s	37_1	40_1	301	9	0.9	0.3592785951589938
171	IGT	s2s	40_1	37_1	301	9	0.9	0.4902219392395853
172	IGT	self	37_1	37_1	301	9	1.0	0.9586226851851852
173	IGT	self	40_1	40_1	301	9	1.0	0.6029411764705882
174	IGT	s2s	37_1	40_1	301	9	1.0	0.4420977693402943
175	IGT	s2s	40_1	37_1	301	9	1.0	0.5604420593050755
176	IGT	self	37_1	37_1	301	11	0.0	0.8521412037037036
177	IGT	self	40_1	40_1	301	11	0.0	0.6132352941176471
178	IGT	s2s	37_1	40_1	301	11	0.0	0.4238253440911248
179	IGT	s2s	40_1	37_1	301	11	0.0	0.3898035291977442
180	IGT	self	37_1	37_1	301	11	0.1	0.8738425925925926
181	IGT	self	40_1	40_1	301	11	0.1	0.6029411764705882
182	IGT	s2s	37_1	40_1	301	11	0.1	0.4069767441860465
183	IGT	s2s	40_1	37_1	301	11	0.1	0.41108786610878656
184	IGT	self	37_1	37_1	301	11	0.2	0.8903356481481483
185	IGT	self	40_1	40_1	301	11	0.2	0.611764705882353
186	IGT	s2s	37_1	40_1	301	11	0.2	0.39629805410536295
187	IGT	s2s	40_1	37_1	301	11	0.2	0.4082681462615973
188	IGT	self	37_1	37_1	301	11	0.3	0.8926504629629629
189	IGT	self	40_1	40_1	301	11	0.3	0.5955882352941176
190	IGT	s2s	37_1	40_1	301	11	0.3	0.4254864736592311
191	IGT	s2s	40_1	37_1	301	11	0.3	0.43441877387666
192	IGT	self	37_1	37_1	301	11	0.4	0.9759837962962964
193	IGT	self	40_1	40_1	301	11	0.4	0.5794117647058824
194	IGT	s2s	37_1	40_1	301	11	0.4	0.44352159468438535
