	PC0	PC1	PC2	Group	distance	weights
N2_031_008G1	-0.10932433215624955	0.01391111261407648	-0.000775204160204682	1	0.9883870752646868	1.0
N2_031_010G1	-0.11338248743650407	0.014011931823465221	-0.0008191807797831702	1	0.9879636758815393	1.0
N2_031_012G1	-0.11641454458577921	0.020732284283456918	-0.0007996017404876884	1	0.9878895959872569	1.0
N2_031_014G1	-0.08158765293231623	0.008084815280036753	-0.0007253759564428143	1	0.988718340715711	1.0
N2_031_016G1	-0.07730038903731162	0.008003124317211048	-0.0006628399581480813	1	0.9893012911876962	1.0
N2_031_018G1	-0.09817240878158048	0.013061165330050434	-0.0006101928296288385	1	0.9899351450338727	1.0
N2_031_020G1	-0.09111922392581992	0.011653296282819522	-0.0005109505231096061	1	0.99079730206877	0.0
N2_031_021G1	-0.10122559202501721	0.012129305960207932	-0.0006781539425338111	1	0.9893580555044778	1.0
N2_031_023G1	-0.1108301359600308	0.014082464793794493	-0.0007342547491106979	1	0.9888490884914635	1.0
N2_031_027G1	-0.050858829915485675	0.0038089635689958277	-0.0006457839040051074	1	0.9892221898169068	1.0
N2_031_033G1	-0.10032802805577047	0.01376443656117936	-0.0005534230374067156	1	0.9904683010630557	1.0
N2_031_040G1	0.51671596184463	0.60079034050332	-0.0004272750619808456	1	0.7609534774173632	1.0
N2_031_055G1	-0.100548235822974	0.00990986521278018	-0.0008308773783817935	1	0.9878004639229542	1.0
N2_035_010G1	-0.11982671539196163	0.01063752338948565	-0.0008008686257294173	1	0.9884646187146096	1.0
N2_035_012G1	-0.12377674873018785	0.009710696042309907	-0.0007549223594841636	1	0.9890719058199503	1.0
N2_035_014G1	-0.13370053552596853	0.013530751051367567	-0.00042622813287075684	1	0.9920031859357136	0.0
N2_035_016G1	-0.13195070316182586	0.012626485046218388	-0.0004297400852651291	1	0.991985973916499	0.0
N2_035_018G1	-0.1355045195635723	0.014582507149451151	-0.00044762161676960364	1	0.9918237708498563	0.0
N2_035_020G1	-0.1251197034455169	0.014957964170892044	-0.00040073105697941536	1	0.9920378176467191	0.0
N2_035_022G1	-0.13454203332204373	0.010224907437595746	-0.0005324044670446023	1	0.9912904433725769	0.0
N2_035_025G1	-0.10893970441590613	0.01844385207144698	-0.00016127908151012668	1	0.993399104250128	0.0
N2_035_027G1	-0.10950847963659975	0.009912794841255092	-0.00021665184790547467	1	0.9933041621195574	0.0
N2_035_032G1	-0.11640288001087369	0.011407518275981984	-0.00022300461683367163	1	0.9932929883593914	0.0
N2_035_039G1	-0.12212194790196283	0.01247495090938486	-0.0002522235835954434	1	0.9931334392126892	0.0
N2_035_046G1	-0.11709243886855693	0.012114112003265568	-0.0001771624346701788	1	0.993567561526745	0.0
N2_035_053G1	-0.10803781905939758	0.011752773486786518	-0.0001860751031957837	1	0.9934284626341031	0.0
N2_038_009G1	-0.019433798349683583	0.006167114558662844	0.00045842736113242157	1	0.9960139040418251	0.0
N2_038_011G1	0.0024945901455424757	0.0025035049004316088	0.0008023114435257518	1	0.9970790040451282	0.0
N2_038_013G1	0.13313150771524315	-0.017024594671263805	8.801640651207803e-05	1	0.9934540972479081	0.0
N2_038_015G1	0.004738793674878693	0.01451605628804902	0.0012435424464477974	1	0.9979754692400538	0.0
N2_038_018G1	0.08017425852318961	-0.0042783992133873395	0.00013245714367735172	1	0.9939011853980458	0.0
N2_038_020G1	0.01922966808257938	0.011232515820723822	0.0012322419454766874	1	0.9979355552350289	0.0
N2_038_026G1	-0.02793695919591798	-0.0040825620165302	0.00030048749228843126	1	0.9956286014033787	0.0
N2_038_030G1	0.002175695776903373	-0.007117387115752247	-0.0002321667824653994	1	0.9924661925999805	0.0
N2_038_036G1	0.07087415080262344	-0.01120473932496417	-0.00013194676317481398	1	0.9924969724613389	0.0
N2_038_039G1	-0.02143336635925311	0.005399676232934985	-0.00014139772444209927	1	0.9929690308131841	0.0
N2_038_044G1	0.0025171277173871714	-0.006636063118816655	0.00011251581060034836	1	0.9945668370662956	0.0
N2_039_008G1	0.0068500449615809065	0.005347410635939225	0.0025069615578138344	1	0.9994209886064489	0.0
N2_039_011G1	0.047706082307873654	0.009163720438987392	0.003204395513606047	1	0.9996784457141502	0.0
N2_039_013G1	0.0529406001690861	0.008434682701284389	0.0029072919803105326	1	0.9995698503072762	0.0
N2_039_015G1	0.04521105214321281	0.011924259127396225	0.0024724423253613087	1	0.9993444546934916	0.0
N2_039_018G1	0.03717574052534173	0.004646032381925103	0.001640468678435571	1	0.9986059182117737	0.0
N2_039_020G1	0.03151772223858345	0.001841691237733742	0.0010897937131798066	1	0.9976844832525144	0.0
N2_039_021G1	-0.011540062170881488	0.015150840118840709	0.0013421290220990314	1	0.9982008171541626	0.0
