	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.9837481207929755	0.9831756897108557	0.022885762694645366	0.3893937785263609	0.07148449262270401	0.5182926829268293	0.03740059814021547
PC0	-0.053904222611829165	0.1465376414387889	-1.3509321852046983	1.0012025617146105	0.5717705510388438	0.9024390243902439	1.4057321897229733
PC1	0.012927771477605696	-0.02410310305001739	0.6450689436952979	0.3491729449904963	0.5561728395061728	0.951219512195122	0.6674478035841079
PC2	-0.0007808563001454977	-0.00067183842664293	-0.09261951930368748	0.4753073702436295	0.09727491719361639	0.6463414634146342	0.11616373135986836
