,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii,5,23.104244,403,0.0027915136476426797,12.882450366786594,0.00012082254877686885,3.4607735818084406e-27,1.5504265646501813e-25,164,23.24255743902442,164,0.0002890853658536585,4.213357117272547,1.2437760629915972e-05,8.21883877514608e-67,1.841019885632722e-64
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cloacibacterium|s__Cloacibacterium_normanense,5,2.346504,403,0.21510074441687344,0.5638977879301315,0.09166860334219479,1.4824427762060683e-41,1.6603359093507966e-39,164,1.0546280487804869,164,0.0,4.613758383178609,0.0,2.409143372404198e-65,1.349120288546351e-63
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Propionibacterium_namnetense,5,1.1991859999999999,403,0.0,10.45751432190414,0.0,1.609025688896136e-72,3.6042175431273446e-70,164,1.4222635975609765,164,0.0,3.2558843014966206,0.0,2.409143372404198e-65,1.349120288546351e-63
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,5,22.019486,403,0.02515885856079405,14.409716206291444,0.001142572472436189,1.2195967438453564e-14,3.414870882766998e-13,164,20.848037317073167,164,0.0038777439024390245,4.29278277896581,0.0001860004298468618,2.4025464544994104e-65,1.349120288546351e-63
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus,5,0.069344,403,0.0,7.030383161497453,0.0,6.201374808454769e-37,3.4727698927346706e-35,164,0.11707024390243892,164,0.0,2.993080264020231,0.0,2.343932633828661e-52,7.500584428251715e-51
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis,5,0.06438,403,7.272952853598016e-05,7.290446221314987,0.001129691341037281,1.59469521758455e-15,5.10302469627056e-14,164,0.13348719512195084,164,0.0,3.247164370183213,0.0,2.343932633828661e-52,7.500584428251715e-51
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta,5,0.335834,403,0.0,7.27782652625172,0.0,6.201374808454769e-37,3.4727698927346706e-35,164,0.7735697560975604,164,0.0,3.2129017818083057,0.0,2.343932633828661e-52,7.500584428251715e-51
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,5,0.167592,403,0.11064290322580644,0.08211187974348569,0.6601920331865868,0.0010232427318911646,0.017631259380278527,164,0.43357280487804906,164,0.015352012195121953,2.1247463378177516,0.03540815296162316,1.6603475124275968e-50,4.648973034797271e-49
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_granulosum,5,0.038224,403,0.01831451612903226,0.07900928515019,0.4791365667913421,4.390259000396492e-06,8.940163782625585e-05,164,0.06200341463414619,164,0.000621158536585366,2.8433146898747355,0.010018134327771117,6.421853385930555e-50,1.5983279538316046e-48
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,5,4.604488,403,2.4575504714640197,0.1828151566685243,0.5337293682737407,0.007484058799425503,0.11176194473808752,164,12.212510487804856,164,0.459242256097561,2.280517567722654,0.03760424660893026,2.00800495520567e-48,4.4979310996607e-47
