	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.9883574025065178	0.9383933579745156	1.9975597100522184	0.06339910489160003	0.4217480011028399	0.7717121588089331	
PC0	-0.002669278140674625	0.21514381813840452	-1.468010305712333	0.6694764494894819	0.41196581196581195	0.745409429280397	
PC1	-0.0011078991652416401	0.08929667271850153	-1.5748259373882805	0.04022650332688201	0.2995312930796802	0.7205955334987594	
PC2	1.0718971081753339e-05	-0.0008639490691893554	0.7431013909687058	9.548457798163467	0.28485617130778423	0.511166253101737	
