,Case,Control
391,S2_018_012G1,S2_CON_002E2
392,S2_018_013G1,S2_CON_002E2
393,S2_018_014G1,S2_CON_002E2
394,S2_018_015G1,S2_CON_002E2
395,S2_018_016G1,S2_CON_002E2
396,S2_018_017G1,S2_CON_002E2
397,S2_018_018G1,S2_CON_002E2
398,S2_018_019G1,S2_CON_002E2
399,S2_018_020G1,S2_CON_002E2
400,S2_018_021G1,S2_CON_002E2
401,S2_018_022G1,S2_CON_002E2
402,S2_018_023G1,S2_CON_002E2
