,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_globosa,40,1.5972860000000002,38,0.39302894736842103,0.9276747371285479,0.24606047218120047,4.773855160964683e-06,0.0020623054295367434,94,1.9656331914893608,94,0.4134591489361701,1.1410270400050657,0.21034400046068208,5.4441773946755485e-17,2.351884634499837e-14
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermacoccaceae|g__Dermacoccus|s__Dermacoccus_nishinomiyaensis,40,0.82725425,38,0.4009631578947368,0.31307438502930307,0.48469156597833957,2.0122782386611086e-05,0.004346520995507995,94,0.44111414893617024,94,0.3887794680851064,0.05471766076627281,0.8813579637441266,1.5300067357444055e-12,3.304814549207916e-10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylorubrum|s__Methylorubrum_extorquens,40,0.37044449999999995,38,0.0,0.26984912932608873,0.0,0.0002921215404215093,0.027118849026660792,94,0.07746893617021275,94,0.0,0.40686277392564657,0.0,8.36367384593308e-11,1.2043690338143635e-08
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus,40,0.00945525,38,0.12206236842105263,0.46640609512884595,12.90948080918565,0.0007242961931319006,0.044699422204711584,94,0.006069893617021277,94,0.12929212765957443,0.5262146291158042,21.300559090032767,4.147406409027117e-10,4.479198921749286e-08
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis,40,0.8110085,38,2.565101842105263,0.7779214190908532,3.1628544486343397,0.00013143728846495926,0.018926969538954133,94,1.0257697872340428,94,2.7179613829787233,0.7523414661928022,2.6496797008494704,3.6309430545214077e-09,2.614278999255414e-07
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Tsukamurellaceae|g__Tsukamurella|s__Tsukamurella_tyrosinosolvens,40,0.018925,38,0.0,0.36714964035206366,0.0,0.014065117581296154,0.2508704084668343,94,0.05367808510638298,94,0.0,0.6267246639787293,0.0,3.0639444176439935e-09,2.614278999255414e-07
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter|s__Janibacter_hoylei,40,0.083125,38,0.07813763157894738,0.01726873740274999,0.94000158290463,0.11388316261404803,0.4836781646687219,94,0.00034797872340425526,94,0.08796893617021277,0.5644056245846977,252.79975542647514,1.3444872812950584e-07,8.297407221706646e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Dietziaceae|g__Dietzia|s__Dietzia_maris,40,0.005387,38,0.23645657894736838,0.3400545878253392,43.89392592303107,0.03973824228606497,0.38656009130881563,94,0.0,94,0.28676648936170207,0.3837764529967427,inf,1.8584484332723103e-07,9.117212944070747e-06
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Roseomonas|s__Roseomonas_mucosa,40,0.36142599999999997,38,0.17531052631578947,0.33064704959829616,0.4850523380049844,0.00036524755349529394,0.027118849026660792,94,0.35934553191489355,94,0.19442404255319135,0.28173543412032354,0.5410503965838602,1.8994193633480722e-07,9.117212944070747e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter|s__Janibacter_indicus,40,0.12413375000000001,38,0.12608026315789475,0.006414209723894495,1.0156807730201878,0.0521074847044315,0.39299101134282155,94,0.07487244680851064,94,0.14367638297872345,0.25123719189231236,1.9189486800956526,3.2160196440797596e-07,1.3893204862424563e-05
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_granulosa,40,0.0028390000000000004,38,0.0,0.3641434125980668,0.0,0.048320011413601954,0.38656009130881563,94,0.004451808510638297,94,0.0,0.5464335506780558,0.0,6.890721456626909e-07,2.5501792274194047e-05
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta,40,4.369758999999999,38,2.7156236842105264,0.44401247780463465,0.6214584566815988,0.01577000247923982,0.26202465657813856,94,4.610729148936172,94,2.906974680851065,0.49049983511454825,0.6304804699971994,7.083831187276123e-07,2.5501792274194047e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_auricularis,40,0.0,38,0.07048868421052631,0.500534558222444,inf,0.004912775618490526,0.16325531286060824,94,0.0,94,0.08548627659574466,0.5557330008255306,inf,1.3268444998282376e-06,4.409206337890759e-05
