,Case,Control
0,WBE003,WBS018
1,WBE003,WBS019
2,WBE003,WBU002
3,WBE004,WBS014
4,WBE004,WBE018
5,WBE004,WBU013
6,WBE009,WBS013
7,WBE009,WBU019
8,WBE009,WBU020
9,WBE010,WBS015
10,WBE010,WBE042
11,WBE010,WBS021
12,WBE011,WBS013
13,WBE011,WBU019
14,WBE011,WBU020
15,WBE012,WBU019
16,WBE012,WBS013
17,WBE012,WBS021
18,WBE013,WBU019
19,WBE013,WBS013
20,WBE013,WBS021
21,WBE014,WBU004
22,WBE014,WBU012
23,WBE014,WBE020
24,WBE015,WBS012
25,WBE015,WBS022
26,WBE015,WBS020
27,WBE016,WBU001
28,WBE016,WBS020
29,WBE016,WBS022
30,WBE021,WBE005
33,WBE022,WBU020
34,WBE022,WBE005
35,WBE022,WBS013
36,WBE023,WBS014
37,WBE023,WBE018
38,WBE023,WBU013
39,WBE024,WBS016
40,WBE024,WBE017
41,WBE024,WBU001
42,WBE026,WBU020
43,WBE026,WBS013
44,WBE026,WBU019
48,WBE028,WBU015
49,WBE028,WBE008
50,WBE028,WBE007
51,WBE029,WBS021
52,WBE029,WBE042
53,WBE029,WBS015
57,WBE031,WBU013
58,WBE031,WBS017
59,WBE031,WBS014
60,WBE032,WBS021
61,WBE032,WBE042
62,WBE032,WBS015
63,WBE033,WBE005
66,WBE034,WBU012
67,WBE034,WBE020
68,WBE034,WBU011
69,WBE035,WBS013
70,WBE035,WBU019
71,WBE035,WBU020
72,WBE036,WBU004
73,WBE036,WBU012
74,WBE036,WBE020
75,WBE037,WBS013
76,WBE037,WBU019
77,WBE037,WBU020
78,WBE038,WBS021
79,WBE038,WBE042
80,WBE038,WBS015
84,WBE040,WBS015
85,WBE040,WBE042
86,WBE040,WBS021
87,WBE041,WBU007
88,WBE041,WBU011
89,WBE041,WBS016
90,WBE044,WBE005
91,WBE044,WBU020
93,WBE045,WBU003
96,WBE046,WBE005
99,WBE047,WBU003
102,WBE048,WBU004
103,WBE048,WBU012
104,WBE048,WBE020
105,WBE049,WBU007
106,WBE049,WBU011
107,WBE049,WBS016
108,WBU005,WBU020
109,WBU005,WBE005
110,WBU005,WBS013
111,WBU006,WBU007
112,WBU006,WBU011
113,WBU006,WBE020
