	PC0	PC1	PC2	Group	distance	weights
WBE003	0.04955137425508384	-0.001051929679481624	0.0007961957800506025	1	0.25986688336931735	1.0
WBE004	0.06508385662139939	-0.0014295374469950706	0.00045574006513652497	1	0.3496317120275217	1.0
WBE005	-0.1460442954842019	0.0005823413161975358	-0.00021544643894367435	0	0.7335458155356684	3.4523809523809526
WBE006	-0.07203071687873319	0.00033861885282718485	-0.00011074436890721751	0	0.5941949635148576	0.0
WBE007	0.002646179733963961	0.002692660197194016	0.00012213496441236638	0	0.17258450957993254	0.2761904761904762
WBE008	0.06790152287784809	0.002126481644039836	0.0003655414894768445	0	0.10544799461358564	0.2761904761904762
WBE009	-0.15868955513599978	0.0015841558665860692	-0.00031514193830330285	1	0.6862222502662829	1.0
WBE010	-0.09034709966433814	0.0002656802740817771	-3.274844704475064e-05	1	0.6175803999337782	1.0
WBE011	-0.0531824568511495	-0.001348820206227975	0.00010104766593361666	1	0.6769437521207461	1.0
WBE012	-0.029068017907002863	-0.0017604788556800834	0.0001541290292580641	1	0.6596304317298708	1.0
WBE013	-0.04164294408262199	-0.0012608707793293217	5.234742235061568e-05	1	0.6589678108336945	1.0
WBE014	0.012992183111925525	-0.0014345354969136175	0.00014762440678577998	1	0.5422484173351683	1.0
WBE015	-0.005604342209088962	8.886159385752923e-05	0.0002518016836261464	1	0.3830439705832571	1.0
WBE016	-0.09741117199627465	0.0028906228537948883	-0.00025894220370398	1	0.40549850109298974	1.0
WBE017	-0.11926866714614037	0.003554134205352307	-0.00042892790708222054	0	0.4246701799534126	0.2761904761904762
WBE018	-0.03603643285396168	0.0018369584809297655	-0.00013263275635289377	0	0.36152240521805556	0.5523809523809524
WBE019	0.0888702480164596	0.005217067150484803	0.00021140044122670414	0	0.02856985591138443	0.0
WBE020	-0.023133354495241582	-0.0006392284767104099	0.00023898240712617215	0	0.503003921254165	1.3809523809523812
WBE021	-0.0880150581568319	-0.0016521969859645041	1.7277593343175005e-05	1	0.7796753907439105	1.0
WBE022	-0.07517872568222161	-0.0009204069237693889	-4.586328056954068e-05	1	0.7107873374848329	1.0
WBE023	0.05679356218416601	0.0005248836555603114	-0.00027638282058561534	1	0.3552137507230431	1.0
WBE024	0.04547055805523705	0.00011196332010989154	-0.0003038591726413142	1	0.42935353862116415	1.0
WBE026	0.01243917718012121	-0.002501599943303565	-1.513803129123496e-05	1	0.6980545755394401	1.0
WBE027	-0.12973418831497213	-0.00023430764587073846	-0.00035155868703781073	1	0.8017040701247045	0.0
WBE028	0.0783705861943424	0.0021251765401072427	8.863265052801003e-05	1	0.12889998262722618	1.0
WBE029	-0.0010325363676187602	-0.001102411529586474	-0.0001922221205568483	1	0.628176940303173	1.0
WBE030	-0.13029124396833622	-0.0010136147825959361	-4.636604219447283e-07	1	0.7945254245632982	0.0
WBE031	-0.02845749277051151	0.0014485686927123475	6.976788864060668e-05	1	0.33444761659556416	1.0
WBE032	-0.04211419412069862	-0.0003678917707704348	-0.0002055194804536432	1	0.6352713464288753	1.0
WBE033	-0.12568307442946827	0.00012064683291896723	-0.0003121769333948544	1	0.7611228722007679	1.0
WBE034	-0.02202415705974809	-0.0006990338388270623	0.00018822446085352287	1	0.5217956853607415	1.0
WBE035	-0.0825139295766598	-0.00020019988832060587	-0.00013494413641709882	1	0.6767293551276014	1.0
WBE036	-0.061472475645755496	0.0007848025680063253	-0.0001707557969139109	1	0.5400537309750866	1.0
WBE037	-0.010493413074965879	-0.0023150288556652915	0.00017475637102360025	1	0.6750474171013027	1.0
