	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.5781541852520697	0.5749383655174242	0.018458802206525748	0.974097596984032	0.02484737484737485	0.12380952380952379	0.10846534595558961
PC0	-0.03836477837543719	-0.042041225299887214	0.055007050141569445	0.4293496443323744	0.0746031746031746	0.2380952380952381	1.0319809626921759
PC1	-0.0004614856549551441	-0.00040208207952825904	-0.045351194273450385	0.7914815458694743	0.07625152625152624	0.2333333333333333	1.1096605589055653
PC2	-5.496008140819412e-06	4.714693202963127e-06	-0.04353651990999834	1.4827219163652812	0.05225885225885226	0.16666666666666666	0.9957590414698766
