	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.595160519864672	0.38459750612856985	1.2086314978078343	0.5599099338002482	0.265114709851552	0.4276315789473685	
PC0	-0.042766011985362576	0.0406277113860946	-1.2477380517800194	0.20591494195313856	0.1684210526315789	0.31578947368421045	
PC1	-0.0005270734231656119	0.0005007197520074553	-0.7846606475324136	0.31450871264584923	0.15241228070175433	0.313157894736842	
PC2	-1.7150326982855804e-05	1.6292810633713034e-05	-0.14259528093857576	0.9674694386925804	0.07424089068825906	0.2078947368421052	
