	V1
s100	s91
s101	s59
s102	s24
s103	s13
s104	s80
s105	s23
s106	s32
s107	s41
s108	s35
s109	s77
s110	s27
s111	s67
s112	s78
s113	s15
s114	s47
s115	s13
s116	s80
s117	s51
s118	s22
s119	s53
s120	NA_character_
s121	s14
s122	s91
s123	s71
s124	s6
s125	s68
s126	s18
s127	s4
s128	s96
s129	s58
s130	s46
s131	s33
s132	s78
s133	s83
s134	s81
s135	s18
s136	s35
s137	NA_character_
s138	s98
s139	s98
s140	s82
s141	s98
s142	s63
s143	s63
s144	s55
s145	NA_character_
s146	NA_character_
s147	s51
s148	NA_character_
s149	s66
s150	s47
s151	s50
s152	s14
s153	s63
s154	s21
s155	s65
s156	s47
s157	s39
s158	s66
s159	s80
s160	s15
s161	NA_character_
s162	NA_character_
s163	s19
s164	s1
s165	s67
s166	NA_character_
s167	s66
s168	s61
s169	s4
s170	s98
s171	s30
s172	s99
s173	s13
s174	s12
s175	s53
s176	s81
s177	NA_character_
s178	s96
s179	s97
s180	s98
s181	NA_character_
s182	s97
s183	s14
s184	NA_character_
s185	s20
s186	s79
s187	s70
s188	s95
s189	s98
s190	NA_character_
s191	NA_character_
s192	s30
s193	s97
s194	s80
s195	s49
s196	s24
s197	s15
s198	s66
s199	s61
