,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
W5X9,100,1.1777108360434592,100,1.5380814360434587,3.4391401270752193,1.3059924295259702,8.48166306067233e-34,4.240831530336165e-32,87,1.1710540682273671,87,1.5418308498365627,3.5439839178420507,1.3166179868794983,8.71470586517655e-30,4.357352932588275e-28
W5X5,100,0.8034243505792363,100,1.1034449505792356,2.739140649299115,1.373427317436541,2.1338674004867634e-31,5.3346685012169086e-30,87,0.79388704713096,87,1.1076870471309597,2.841028014735971,1.395270336169416,1.6680201036399432e-27,4.170050259099858e-26
W5X1,100,0.3934751031276814,100,0.6327607031276817,2.210754165522157,1.6081340295687092,9.426062336019345e-28,1.5710103893365577e-26,87,0.3844347904840034,87,0.6373311123230838,2.301017982299459,1.6578393217759608,3.100137181596649e-25,5.166895302661082e-24
W5X3,100,1.1075903995577756,100,1.3681281995577752,2.083861394257509,1.2352293773077339,3.742878939614197e-26,4.678598674517746e-25,87,1.0978779374888106,87,1.3725459834658214,2.2011701917874387,1.2501808594544328,1.0528702043397538e-24,1.3160877554246923e-23
W5X6,100,0.40698823756420816,100,0.6265324375642084,1.9022834479818174,1.539436228707627,2.365956950985617e-24,2.365956950985617e-23,87,0.3978603456101853,87,0.6311906904377713,2.00205340317439,1.5864629320364536,2.645433861040708e-23,2.645433861040708e-22
W5X0,100,1.1277037941082817,100,1.3470477941082815,1.8413316866477267,1.194504976524836,1.4568497022658402e-23,1.2140414185548669e-22,87,1.1149886837634542,87,1.3518348906600055,1.9709161088863307,1.2124202786499299,5.450878196173741e-23,4.54239849681145e-22
W5X4,100,0.9041445427490992,100,1.1456767427490988,1.7718371374867161,1.2671389236787387,3.9595148512012556e-22,2.8282248937151823e-21,87,0.8932278163123168,87,1.1503241381513973,1.8821858846946788,1.2878283872758245,1.4863550313430779e-21,1.0616821652450555e-20
W5X2,100,0.8856162543647715,100,1.0653936543647706,1.41757340134314,1.202996951686426,8.54723286029731e-17,5.342020537685819e-16,87,0.8734507578130472,87,1.0704045509164946,1.5375798473903852,1.2254892921457665,7.008073409285006e-17,4.3800458808031283e-16
W5X8,100,0.502306379010879,100,0.6626931790108793,1.2262511786819588,1.319300742936666,1.579853025040984e-13,8.776961250227688e-13,87,0.4923141445281204,87,0.6677693169419137,1.3252534661687687,1.35638864810997,2.0645939871984522e-13,1.1469966595546957e-12
W4X4,100,0.6268586145693462,100,0.765575614569346,1.1122328204962542,1.221289134066218,1.872241167533242e-11,9.361205837666211e-11,87,0.6158792927302654,87,0.7706726260635987,1.2373405748429591,1.2513371291428166,6.467339808132195e-12,3.233669904066097e-11
W4X7,100,0.9776087649323223,100,1.0951299649323223,0.9559201844539861,1.120212915652547,6.0981426330533186e-09,2.7718830150242357e-08,87,0.9632600338978391,87,1.1004207235530117,1.1151298658882878,1.1423921732744904,3.611542233390138e-10,1.6416101060864265e-09
W4X6,100,0.7862453515289425,100,0.9053493515289428,0.9242583905844831,1.1514845204087873,1.858440474320485e-08,7.743501976335354e-08,87,0.7722552641726211,87,0.9107862986553795,1.0574956273512155,1.179385030973117,2.1568068057846026e-09,8.986695024102511e-09
W4X9,100,0.5885179094536264,100,0.683109909453627,0.7973399844757862,1.1607291782977665,9.108105206185984e-07,3.0360350687286613e-06,87,0.5717675025570751,87,0.6883419853156959,1.0166061469307717,1.2038844149715977,1.1906962781746597e-08,4.579601069902537e-08
W5X7,100,1.1033612550306828,100,1.2221862550306832,0.8963911478757204,1.1076936492542473,4.900987516213035e-08,1.8849951985434748e-07,87,1.0936207308927524,87,1.2272648688237868,1.0156351039249794,1.1222033691899176,2.1223397005157337e-08,7.579784644699048e-08
W4X1,100,1.2396517100389715,100,1.3585383100389707,0.8736611866231507,1.0959032275253038,9.482824282129565e-08,3.386722957903416e-07,87,1.2275896042918446,87,1.3637146617631088,1.0072383986985016,1.1108880826257812,2.5238084997610895e-08,8.412694999203632e-08
W4X5,100,1.286989762711075,100,1.384685762711074,0.7930798338314973,1.0759104717307153,1.675762258500477e-06,5.236757057813991e-06,87,1.27327822478004,87,1.3901124776536025,0.9416194444444421,1.0917586200720157,1.172652960260458e-07,3.664540500813931e-07
W4X0,100,0.5927944237320807,100,0.6917002237320804,0.7564301601104583,1.1668467111706522,5.0420496674338605e-06,1.4829557845393707e-05,87,0.5755838789044947,87,0.6974415800539195,0.9078300894213581,1.2117114561675284,2.686747422048034e-07,7.902198300141276e-07
W4X3,100,0.7652518090238413,100,0.8434014090238411,0.5681416848455542,1.102122724936368,0.0005629930740281355,0.0015638696500781544,87,0.7533199331617725,87,0.8487305078744158,0.7017938202959597,1.1266534582620082,7.940521028648797e-05,0.0002205700285735777
W4X2,100,0.48314847171140146,100,0.5411888717114016,0.43210236653524664,1.1201295324280138,0.011011106896002834,0.0289765970947443,87,0.46899134297576933,87,0.5468308832056545,0.5776642100506886,1.1659722325277693,0.0017453155956542075,0.004592935778037388
W3X5,100,1.3669232846383557,100,1.4030320846383557,0.27689235367763093,1.0264161130370628,0.11224035882151759,0.27120722037313394,87,1.350513431764792,87,1.4087260754429531,0.45148727862989546,1.0431040834611258,0.01617079939340103,0.04042699848350257
W4X8,100,1.1383137585686465,100,1.1754645585686463,0.26613554374409654,1.0326366959200375,0.11390703255671626,0.27120722037313394,87,1.1252464758100256,87,1.1809775102927844,0.40671965682230976,1.0495278462815358,0.022510709090390643,0.05359692640569201
W2X9,100,1.410591021842197,100,1.426294621842198,0.13271986018839982,1.0111326385584762,0.5356534851730026,0.8170272738124461,87,1.3963286471295546,87,1.4321456586238068,0.3008293609572519,1.0256508462874279,0.11752875158940483,0.26711079906682916
W3X9,100,0.5149493838082856,100,0.5340699838082861,0.12833369976562736,1.0371310280218125,0.5008492313819709,0.8170272738124461,87,0.49922997921058465,87,0.5400690596703549,0.2718170022940073,1.08180414270062,0.14023157190412,0.29214910813358336
