	Means Treated	Means Control	Std. Mean Diff.	Var. Ratio	eCDF Mean	eCDF Max	Std. Pair Dist.
distance	0.5016124467430727	0.5015796350069325	0.0008460643215912919	0.9812060385210154	0.007068965517241379	0.04597701149425287	0.013707707327184914
Environment	0.5039310344827586	0.5476666666666666	-0.22265064169992152	0.9222205819957401	0.061907642669893126	0.14942528735632182	1.1066994971013435
Age	0.49179310344827587	0.456367816091954	0.1924529968121212	0.6927109252425006	0.06625710133439028	0.21839080459770116	1.2841023447256503
Sex	0.4863563218390805	0.47834482758620683	0.048962482601279105	0.7700206069342522	0.04102140546493221	0.13793103448275862	0.5228518766159473
